region,categorie_vehicule,agglomeration,atmosphere,luminosite,etat_surface,intersection,place,disposition_securite,gravite,motif_deplacement,type_collision,mois,semaine,jour,heure,age
52,1,1,1,1,1,1,1,1,1,1,1,1,2,3,8,54
84,2,1,2,2,2,1,1,1,1,1,1,1,1,2,11,64
84,3,1,2,2,2,1,1,1,1,1,1,1,1,2,17,63
76,3,1,3,3,3,1,1,1,1,2,1,1,4,6,20,66
75,3,1,4,2,4,2,1,1,1,1,1,2,7,3,17,72
53,2,1,4,2,1,1,1,1,1,1,1,1,3,3,9,54
53,3,1,4,2,4,3,1,1,1,3,1,1,3,4,13,45
53,3,1,5,2,1,1,1,1,1,1,1,1,0,5,14,74
75,3,1,2,3,2,1,1,1,1,1,1,1,1,2,18,56
75,3,1,5,3,1,1,1,1,1,3,1,1,3,5,22,52
75,3,1,5,3,1,1,1,1,1,2,1,1,3,5,22,73
28,2,1,2,1,1,1,1,1,1,1,1,1,1,3,8,50
28,4,1,2,2,2,1,1,1,1,1,1,1,1,5,16,45
28,3,1,5,3,4,1,1,1,1,3,1,1,1,5,20,46
28,3,1,4,2,4,1,1,1,1,2,1,1,1,7,12,42
28,3,1,4,3,4,4,1,1,1,4,1,1,3,3,18,51
76,2,1,6,2,1,1,1,1,1,3,1,1,2,1,14,74
24,3,1,5,2,1,1,1,1,1,3,1,1,2,4,8,61
76,3,1,1,1,1,1,1,1,1,2,1,1,4,6,7,45
32,4,1,2,2,1,1,1,1,1,1,1,1,1,5,16,53
32,5,1,2,2,1,1,1,1,1,1,1,1,1,4,9,52
76,3,1,4,3,4,1,1,1,1,2,1,1,1,1,20,36
44,3,1,5,2,1,1,1,1,1,2,1,1,1,1,14,63
44,3,1,4,2,4,1,1,1,1,2,1,1,2,1,17,38
44,3,1,4,2,4,1,1,1,1,2,1,1,1,6,14,57
53,3,1,1,1,1,1,1,1,1,3,1,1,2,3,9,41
53,3,1,1,2,3,1,1,1,1,5,1,1,4,2,10,93
53,2,1,1,2,3,1,1,1,1,2,1,1,4,2,10,41
53,6,1,7,2,3,1,1,2,1,2,1,1,4,3,11,30
53,1,1,7,2,3,1,1,1,1,1,1,1,4,3,11,47
52,3,1,2,2,2,1,1,1,1,2,1,1,1,1,15,47
52,3,1,6,2,3,1,1,1,1,5,1,1,3,5,10,49
52,3,1,4,3,4,1,1,1,1,2,1,2,7,5,21,37
52,3,1,4,2,4,1,1,1,1,2,1,2,8,6,10,49
52,3,1,4,3,4,1,1,1,1,2,1,2,5,5,19,62
76,3,1,8,2,4,1,1,1,1,3,1,1,4,5,17,43
76,3,1,6,2,3,1,1,1,1,4,1,1,2,1,8,37
