population_region,population_population
ALSACE,1843053
AQUITAINE,3206137
AUVERGNE,1343964
BASSE-NORMANDIE,1470880
BOURGOGNE,1642440
BRETAGNE,3175064
CENTRE,2538590
CHAMPAGNE-ARDENNE,1337953
CORSE,305674
FRANCHE-COMTE,1168208
HAUTE-NORMANDIE,1832942
ILE-DE-FRANCE,11728240
LANGUEDOC-ROUSSILLON,2610890
LIMOUSIN,741785
LORRAINE,2350112
MIDI-PYRENEES,2862707
NORD-PAS-DE-CALAIS,4033197
PAYS DE LA LOIRE,3539048
PICARDIE,1911157
POITOU-CHARENTES,1760575
PROVENCE-ALPES-COTE D'AZUR,4889053
RHONE-ALPES,6174040
GUADELOUPE,401554
GUYANE,224469
MARTINIQUE,396404
LA REUNION,816364
